Periodo;# Clicks;# Registros IN;# Primer depósito IN;Total depositado IN;# Personas que apostaron IN;Total apostado;Net revenue IN
2023-09-10;2;0;1;8868,438803;648;47301,53704;1321,209845
2023-09-10;;0;0;0;1;14,0411124;1,715021586
2023-09-11;;2;5;7570,554596;539;44295,74239;-328,4916641
2023-09-11;1;0;0;;;;
2023-09-11;1;0;0;;;;
2023-09-12;;1;3;7682,785628;681;33333,84746;1238,007992
2023-09-12;;0;0;0;1;9,523018905;5,872190773
2023-09-13;1;2;4;8470,394245;715;47320,77511;3078,613053
2023-09-14;;2;0;7827,621388;793;35578,34521;1706,131092
2023-09-14;;0;0;0;1;16,93982365;-18,10685722
2023-09-15;;5;2;9802,900641;734;46371,92837;5766,114485
2023-09-15;;0;0;0;1;17,66986665;-0,917343652
2023-09-16;;1;8;10545,92863;799;41793,65604;-1468,250237
2023-09-16;;0;0;0;1;47,2338419;2,614290467
2023-09-17;;6;12;10563,34252;864;43020,62447;1125,979037
2023-09-17;;0;0;0;1;6,1626318;-4,781175172
2023-09-18;1;0;0;;;;
2023-09-19;1;3;3;12250,12928;765;116987,5781;175,2734565
2023-09-19;2;0;0;;;;
2023-09-19;;0;0;0;1;35,47731707;24,9841699
2023-09-20;;3;6;9911,344357;795;100493,0928;5872,00108
2023-09-20;;0;0;0;1;70,5231448;-2,015506081
2023-09-21;;2;8;10699,70574;779;55891,29973;-1315,828239
2023-09-21;;0;0;0;1;35,57573933;14,52779141
2023-09-22;;1;4;8284,690318;743;63848,83249;1503,354627
2023-09-22;;0;0;20,337191;1;60,68821166;16,54786389
2023-09-23;;1;5;10010,92937;774;74746,94072;3160,019438
2023-09-23;;0;0;0;1;17,2773006;6,835713167
2023-09-24;;2;8;9435,159241;891;62595,9008;1938,0075
